Author Surname,Date,Author First name,Title of Work,Publisher,Place of Publication,Format of Work,Copy Payee Surname,Copy Payee First Name,Amount,Sheets,Book Price in Decimal,Gender,Number of Pages,Genre of Work,Payment:Sheet Ratio,Copyright Purchaser Surname,Simplified Author Surname for sorting
Cibber,1707,Colley,"The Double Gallant: or, The Sick Lady’s Cure","Printed for Bernard Lintott, between the two Temple Gates in Fleetstreet; and sold by John Phillips, next the Fleece Tavern against the Royal Exchange in Cornhil.",London,4,Cibber,Colley,17.25,3.666666667,0.075,Male,88,Drama--Comedy,4.704545455,Lintot,Cibber
Cibber,1707,Colley,The Comical Lovers,"Printed for Bernard Lintott at the Cross-Keys, between the two Temple-Gates, in Fleet-Street.",London,4,Cibber,Colley,10.75,3.166666667,0.075,Male,76,Drama--Comedy,3.394736842,Uknown,Cibber
Smith,1707,Edmund,Phaedra Phedra and Hippolitus,Printed for Bernard Lintott.,London,4,Smith,Edmund,50,3.166666667,0.075,Male,76,Drama,15.78947368,Lintot,Smith
Baker,1708,Thomas,"The Fine Lady’s Airs: or, An Equipage of Lovers",Printed for Bernard Lintott.,London,4,Baker,Thomas,21.5,3.333333333,0.075,Male,80,Drama,6.45,Lintot,Baker
King,1708,William,"The art of cookery, in imitation of Horace’s Art of poetry. With some letters to Dr. Lister, and others: Occasion’d principally by the Title of a Book publish’d by the Doctor, being the Works of Apicius Coelius, Concerning the Soups and Sauces of the Antients. With an Extract of the greatest Curiosities contain’d in that Book. To which is added, Horace’s Art of poetry, in Latin. By the author of the Journey to London. Humbly inscrib’d to the Honourable Beef Steak Club.",Printed for Bernard Lintott at the Cross-Keys between the two Temple Gates in Fleet-street,London,8,King,William,32.25,7,0.1,Male,168,Verse,4.607142857,Lintot,King
Ovid,1708,n/a,The Art of Love: in Imitation of Ovid De Arte Amandi. With a Preface Containing the Life of Ovid.,Printed for Bernard Lintott at the Cross-Keys betwixt the two Temple Gates in Fleetstreet.,London,8,King,William,32.25,10,0.175,Male,240,Verse,3.225,Lintot,Ovid
Williams,1708,John,"Twelve sermons preach’d at the lecture founded by Robert Boyle, Esq; concerning the possibility, necessity and certainty of divine revelation. The second edition. To which are added, three sermons, ... By ... John Lord Bishop of Chichester.","Printed for R. Chiswell, J. Nicholson, J. Sprint, A. Bell, and B. Lintott.",London,8,Williams,John,43,20.5,0.25,Male,492,Prose--Religion,2.097560976,Lintot,Williams
Oldisworth,1709,William,"A dialogue between Timothy and Philatheus. In which the principles and projects of a late whimsical book, intituled, (the rights of the Christian church, &c.) are fairly stated, and answered in their kind: and some Attempts made towards the discovery of a new way of Reasoning, intirely unknown both to the Ancients and Moderns. Written by a layman.","Printed for Bernard Lintott, at the Cross-Keys, between the two Temple-Gates, in Fleet-Street.",London,8,Oldisworth,William,75,66.16666667,0.75,Male,1588,Prose--Religion,1.133501259,Lintot,Oldisworth
Centlivre,1709,Susanna,The Busie Body,"Printed for Bernard Lintott, at the Cross-Keys between the two Temple-Gates in Fleet-street.",London,4,Centlivre,Susanna,10,3.333333333,0.075,Female,80,Drama,3,Lintot,Centlivre
D’Urfey,1709,Thomas,"The Modern Prophets: or, New Wit for a Husband",Printed for Bernard Lintott.,London,4,D’Urfey,Thomas,6.45,3.5,0.075,Male,84,Drama,1.842857143,Lintot,D’Urfey
Dennis,1709,John,Appius and Virginia,"Printed for Bernard Lintott at the Cross-Keys, between the Two Temple Gates in Fleetstreet.",London,4,Dennis,John,21.5,3.166666667,0.125,Male,76,Drama--Tragedy,6.789473684,Lintot,Dennis
Holdsworth,1709,Edward,"Muscipula, sive kambromyomaxia","Impensis E. Curll, ad Insigne Pavonis extra Temple-Bar; & E. Sanger, subter Medii Templi Portam.",London,8,Holdsworth,Edward,6.5,1,0.025,Male,24,Prose--Satire,6.5,Curll,Holdsworth
King,1709,William,"Useful transactions in philosophy, and other sorts of learning","Printed for Bernard Lintott, at the Cross-Keys, between the two Temple-Gates, in Fleet-street",London,8,King,William,10,9.5,0.15,Male,228,Prose--Satire,1.052631579,Lintot,King
Watts,1709,Isaac ,Hymns and spiritual songs. In three books.,Printed by J. H. for John Lawrence at the Angel in the Poultrey,London,12,Watts,Isaac ,10,15.5,0.075,Male,372,Verse,0.64516129,Lawrence,Watts
King,1710,William,"An historical account of the heathen gods and heroes; necessary for the understanding of the ancient poets. Being an improvement of whatever has been hitherto written, by the Greek, Latin, French, and English Authors, upon that subject. By Dr. King.","Printed for Bernard Lintott, at the Cross-Keys, between the two Temple Gates in Fleetstreet.",London,8,King,William,50,7,0.1,Male,168,Prose--History,7.142857143,Lintot,King
Warwick,1710,Philip,"Rules of government: or, a true balance between sovereignty and liberty. Written by a person of honour, immediately after the late Civil War.","Printed for Bernard Lintott at the Cross-Keys, between the Two Temple-Gates, in Fleetstreet.",London,8,Lund,,4.3,3.333333333,0.05,Male,80,Prose--Politics,1.29,Lintot,Warwick
Oldisworth,1711,William,"An essay on the nature, extent, and authority of private judgment in matters of religion; shewing how far the same is consistent with the making of creeds, and the Authority of Councils, Synods, and other Ecclesiastical Assemblies. Highly necessary, for the Determining most of the Controversies now on foot, concerning the Present State of the Church. Written by the author of the Dialogues between Timothy and Philatheus.",Printed for Bernard Lintott at the Cross Keys between the Two Temple-Gates in Fleetstreet,London,8,Oldisworth,William,15.05,8,0.15,Male,192,Prose--Religion,1.88125,Lintot,Oldisworth
Oldisworth,1711,William,Reasons for restoring the Whigs.,Printed in the year MDCCXI.,London,8,Oldisworth,William,2.6,1.666666667,0.025,Male,40,Prose--Politics,1.56,Lintot,Oldisworth
Settle,1711,Elkanah,"The City-Ramble: or, A Play-House Wedding","Printed for Bernard Lintott at the Cross-Keys between the two Temple-Gates, and Egbert Sanger at the Middle-Temple-Gate in Fleet-Street.",London,4,Settle,Elkanah,3.5,3.416666667,0.075,Male,82,Drama--Comedy,1.024390244,Lintot,Settle
Dennis,1711,John,"Reflections critical and satyrical, upon a late rhapsody call’d, An essay upon criticism. By Mr. Dennis","Printed for Bernard Lintott, at the Cross Keys between the Two Temple-Gates in Fleetstreet",London,8,Dennis,John,2.625,1.666666667,0.025,Male,40,Prose--Criticism/Aesthetics,1.575,Lintot,Dennis
Trapp,1711,Joseph,"Prælectiones poeticæ: in schola naturalis philosophiæ Oxon. habitæ. Authore Josepho Trapp, A.M.","Oxonii: e Theatro Sheldoniano, impensis Bernardi Lintott, bibliopolæ Londinensis.",Oxford,8,Trapp,Joseph,20,6.5,0.125,Male,156,Prose--Criticism/Aesthetics,3.076923077,Lintot,Trapp
Bragge,1712,Francis,"A Full and Impartial Account of the Discovery of Sorcery and Witchcraft, Practis’d by Jane Wenham",Printed for E. Curll.,London,8,Bragge,Francis,3.225,1.666666667,0.025,Male,40,Prose--History,1.935,Curll,Bragge
Burnet,1712,Thomas,"Our ancestors as wise as we: or ancient precedents for modern facts, in answer to a letter from a noble lord","Printed for A. Baldwin, near the Oxford-Arms in Warwick-Lane",London,8,Burnet,Thomas,5.375,1.5,0.025,Male,36,Prose--Politics,3.583333333,Lintot,Burnet
Gay,1712,John,The Mohocks,"Printed for Bernard Lintott; Printed in the year, 1712.",London,8,,,2.5,1.333333333,0.0125,Male,32,Drama--Tragi-Comical-Farce,1.875,Lintot,Gay
Homer,1712,n/a,"The Iliad of Homer, with notes. To which are prefix’d, a large preface, and The life of Homer, by Madam Dacier. Done from the French by Mr. Ozell; and by him compar’d with the Greek. To which will be made some farther notes, that shall be added at the end of the whole; by Mr. Johnson, late of Eton, now of Bromford. Illustrated with 26 cuts, copy’d by the best Gravers, from the Paris plates design’d by Coypel.","Printed by G. James, for Bernard Lintott, at the Cross-Keys between the Two Temple-Gates.",London,12,Ozell,John,10.425,33.08333333,0.75,Male,794,Verse--Epic Poem,0.31511335,Lintot,Homer
King,1712,William,"Useful miscellanies: containing, I. A preface of the publisher of The tragi-comedy of Joan of Hedington. In Imitation of Shakespear. III. Some Account of Horace his Behaviour during his Stay at Trinity-College, in Cambridge. With an Ode to Entreat his Departure thence; Together with a Copy of his Medal, taken out of Trinity-College Buttery, by a Well-Wisher to that Society. Part I.","Printed for Bernard Lintott, at the Cross-Keys, between the Two Temple-Gates, ",London,8,King,William,4.075,1.666666667,0.025,Male,40,Prose--Satire,2.445,Lintot,King
Nepos,1712,Cornelius,The lives of illustrious men. Done into English from the original Latin of Cornelius Nepos.,"Printed for Bernard Lintott at the Cross-Keys, between the two Temple-Gates, in Fleet-Street.",London,12,Shoree,,5,8,0.125,Male,192,Prose--History,0.625,Lintot,Nepos
Ovid,1712,n/a,Decerpta ex Ovidii Fastis. Per Thomam Johnson usui Scholæ Brentfordiensis & Quarumvis Aliarum.,Impensis Bernardi Lintott in Vico Fleetstreet prope Templum.,London,8,Johnson,Thomas,5.375,3.166666667,0.05,Male,76,Verse,1.697368421,Lintot,Ovid
Stephens,1712,William,"A sermon preach’d to the protestants of Ireland, now residing in London, at their anniversary meeting on Octob. 23. 1711. In commemoration of their deliverance from the ... massacre committed by the Irish papists in the year 1641. In the parish-church of St. Paul’s Covent-Garden. By Will Stephens, ...",Printed for A. Baldwin.,London,4,Stephens,William,7,1,0.017,Male,24,Prose--Religion,7,Lintot,Stephens
Tilly,1712,William,"Sixteen sermons, all (except one) preach’d before the University of Oxford, at St. Mary’s, upon several occasions. By William Tilly, D.D. Fellow of C.C.C. Oxon, and Rector of Albury near Rycot in Oxford-Shire.","Printed for Bernard Lintott Bookseller, at the Sign of the Cross-Keys, between the Two Temple Gates in Fleetstreet.",London,8,Tilly,William,32.25,21.33333333,0.3,Male,512,Prose--Religion,1.51171875,Lintot,Tilly
Toland,1713,John,"Dunkirk or Dover; or, the Queen’s honour, the nation’s safety, the liberties of Europe, and the peace of the world, all at stake till that fort and port be totally demolish’d by the French.","Printed for A. Baldwin, near the Oxford-Arms in Warwick-Lane.",London,8,Toland,John,5.375,1.666666667,0.025,Male,40,Prose--Politics,3.225,Lintot,Toland
Corneille,1713,Pierre,Cinna’s Conspiracy,"Printed for Bernard Lintott, at the Cross-Keys, between the Two Temple-Gates in Fleetstreet.",London,4,Cibber,Colley,13,2.833333333,0.075,Male,68,Drama--Tragedy,4.588235294,Lintot,Corneille
Du Pin,1713,Louis Ellies,"A compendious history of the church, from the beginning of the world to this present time. Written in French by Lewis Ellis Dupin, Doctor of Sorbonne, and Regius-Professor of Divinity at Paris. Vol. I.","Printed for Bernard Lintott, at the Cross-Keys, between the Two Temple-Gates.",London,12,Morehead,,29.35,57.91666667,0.5,Male,1390,Prose--History,0.50676259,Lintot,Du Pin
Johnson,1713,Charles,The Successful Pyrate,Printed for Bernard Lintott.,London,4,Johnson,Charles,10.75,3,0.075,Male,72,Drama,3.583333333,Lintot,Johnson
Plato,1713,n/a,Plato’s dialogue of the immortality of the soul.,"Printed for Bernard Lintott, at the Cross-Keys between the Two Temple-Gates in Fleet-Street.",London,8,Theobald,Lewis,5.375,3.333333333,0.05,Male,80,Prose--Philosophy,1.6125,Lintot,Plato
Pope,1713,Alexander,Ode for Musick,"Printed for Bernard Lintot, at the Cross-Keys in Fleetstreet.",London,2,Pope,Alexander,15,0.5,0.025,Male,12,Verse,30,Lintot,Pope
Pope,1713,Alexander,Windsor-Forest,Bernard Lintot.,London,2,Pope,Alexander,32.25,0.833333333,0.05,Male,20,Verse,38.7,Lintot,Pope
Gay,1714,John,"A letter to a lady, occasion’d by the arrival of Her Royal Highness the Princess of Wales.",Printed for Bernard Lintott.,London,2,Gay,John,5.375,0.5,0.025,Male,12,Verse,10.75,Lintot,Gay
Toland,1714,John,"Reasons for naturalizing the Jews in Great Britain and Ireland, on the same foot with all other nations. Containing also, a defence of the Jews against all vulgar prejudices in all countries.",Printed for J. Roberts in Warwick-Lane.,London,8,Toland,John,10.75,3,0.05,Male,72,Prose--Religion,3.583333333,Lintot,Toland
Toland,1714,John,"The grand mystery laid open: namely, by dividing of the Protestants to weaken the Hanover succession, and by defeating the succession to extirpate the Protestant religion. To which is added, The sacredness of parliamentary securities: Against those, Who wou’d indirectly this Year, or more directly the next (if they live so long) attack the Publick Funds.","Printed for J. Roberts, near the Oxford-Arms in Warwick-Lane.",London,8,Toland,John,10.75,2,0.025,Male,48,Prose--Politics,5.375,Lintot,Toland
Toland,1714,John,"The art of restoring. Or, The piety and probity of General Monk in bringing about the last restoration, evidenc’d from his own authentic letters: with a just account of Sir Roger, Who runs the Parallel as far as he can. In a letter to a minister of state, at the Court of Vienna.","Sold by J. Roberts, near the Oxford-Arms, in Warwick-Lane.",London,8,Toland,John,10,2.333333333,0.025,Male,56,Prose--History,4.285714286,Lintot,Toland
Albemarle,1714,"George Monck, Duke of","A Collection of Letters Written by His Excellency General George Monk, Afterwards Duke of Albermarle, Relating to the Restoration of the Royal Family.",Sold by J. Roberts near the Oxford Arms in Warwick-Lane.,London,8,Toland,John,10.75,4.5,0.05,Male,108,Prose--History,2.388888889,Lintot,Albemarle
Centlivre,1714,Susanna,The Wonder: A Woman Keeps a Secret,"Printed for E. Curll, at the Dial and Bible, against St. Dunstan’s Church in Fleet-Street, and A. Bettesworth at the Red Lyon, on London-Bridge.",London,12,Centlivre,Susanna,21.5,3.916666667,0.05,Female,94,Drama--Comedy,5.489361702,Uknown,Centlivre
Cicero,1714,Quintus Tullius,"The art of canvassing at elections, perfect in all respects; and highly necessary to be understood by the electors, no less than by the candidates: written near two thousand years ago, for the use of the greatest scholar, and most consummate States-Man then in the World; And now Publish’d in the English tongue, against the ensuing Election of Parliament.","Printed for J. Roberts, near the Oxford-Arms in Warwick-Lane.",London,8,Toland,John,5.35,2,0.025,Male,48,Prose--Politics,2.675,Lintot,Cicero
Croxall,1714,Samuel,"An Ode Humbly Inscrib’d to the King, Occasion’d by His Majesty’s Most Auspicious Succession and Arrival.","Printed for Bernard Lintott at the Cross-Keys, between the Two Temple Gates in Fleetstreet",London,2,Croxall,Samuel,12.9,0.916666667,0.05,Male,22,Verse,14.07272727,Lintot,Croxall
Digby,1714,John,Quintus Curtius his History of the wars of Alexander.,Printed by W. B. for Bernard Lintott,London,12,Digby,John,11.75,25.83333333,0.25,Male,620,Prose--History,0.45483871,Lintot,Digby
Jacob,1714,Giles,"The Clerk's Remembrancer. Containing All Sorts of Small and Useful Precedents: with Proper Directions in Conveyancing: and the Compleat Methods of Practice in the Courts of Queen's-Bench, Common-Pleas, and in the High Court of Chancery.","Printed by J. Nutt, assignee of Edward Sayer Esq; for B. Lintott, and T. Ward",London In the Savoy,8,Jacob,Giles,3.15,14,0.2,Male,336,Prose--Law,0.225,Lintot,Jacob
Jacob,1714,Giles,The Accomplish’d Conveyancer,"Printed by J. Nutt, assignee of Edward Sayer Esq; for B. Lintott.",London: In the Savoy,8,Jacob,Giles,105,67.41666667,0.9,Male,1618,Prose--Law,1.557478368,Lintot,Jacob
La Motte,1714,Antoine Houdart de,A critical discourse upon Homer’s Iliad.,Printed for Bernard Lintott.,London,12,Theobald,Lewis,3.225,4,0.05,Male,96,Prose--Criticism/Aesthetics,0.80625,Lintot,La Motte
Laurence,1714,John,The clergy-man’s recreation: shewing the pleasure and profit of the art of gardening.,"Printed for Bernard Lintott, between the Two Temple-Gates, in Fleet street.",London,8,Laurence,John,5.375,4.166666667,0.05,Male,100,Prose--Reference,1.29,Lintot,Laurence
Molière,1714,n/a,The works of Monsieur de Moliere. In six volumes.,"Printed for Bernard Lintott, at the Cross-Keys, between the Two Temple-Gates, in Fleetstreet.",London,12,Ozell,,37.65,63.91666667,0.75,Male,1534,Drama,0.58904824,Lintot,Molière
Pointer,1714,John,"A chronological history of England: or, an impartial abstract of the most remarkable transactions, ... that have happen’d in the several kings reigns, since the first attempt by Julius Cæsar, upon this southern-part of Great Britain, to the pacifick year of Her present Majesty Queen Anne, ... 1713 ...","Printed by Leon. Lichfield, for Bernard Lintott.",Oxford,12,Pointer,John,10.75,34,0.25,Male,816,Prose--History,0.316176471,Lintot,Pointer
Pope,1714,Alexander,Rape of the Lock,Bernard Lintot.,London,8,Pope,Alexander,15,2.333333333,0.05,Male,56,Verse,6.428571429,Lintot,Pope
Rowe,1714,Nicholas,The Tragedy of Jane Shore,"Printed for Bernard Lintott, at the Cross-Keys, between the Two Temple-Gates, in Fleet-Street.",London,4,Rowe,Nicholas,50.75,3.083333333,0.075,Male,74,Drama,16.45945946,Lintot,Rowe
"Tilly, D. D.",1714,William,"Four offices of prayer and devotion. Answering four the most important occasions of a Christian life. I. An Office of Preparation for Death, to be us’d often in the Days of Health. II. A Penitential Office for Times of Humiliation and Confession, more especially for Fasting-Days. III. An Office Commemorative of our Blessed Saviour’s Sufferings, Death, Resurrection, &c. for the Redemption of the World. IV. An Office of Preparation for the Holy Sacrament of the Lord’s Supper.","Printed by Leon. Lichfield, for B. Lintott, at the Cross-Keys, between the two Temple Gates in Fleet-Street, London.",Oxford,12,Tilly,William,10.75,11.83333333,0.1,Male,284,Prose--Religion,0.908450704,Lintot,"Tilly, D. D."
Anon,1714,anon,"Penitential meditations of a soul touch’d with remorse for having a long time recited the Lord’s Prayer, without due attention and reflection. Written in French, and translated by W. S. Corrected by Joseph Trapp.",Printed for Bernard Lintott.,London,12,Trapp,Joseph,2.15,4.5,0.05,Male,108,Prose--Religion,0.477777778,Lintot,
Anon,1714,anon,Three separate Latin school works; see “Additional Notes”,Bernard Lintot,London,8,Johnson,Thomas,13,16.91666667,0.15,Male,406,Verse,0.768472906,Lintot,
Pope,1715,Alexander,"A key to the lock. Or, a treatise proving, beyond all contradiction, the dangerous tendency of a late poem, entituled, The rape of the lock, to government and religion. By Esdras Barnivelt, apoth.",Printed for J. Roberts near the Oxford Arms in Warwick-Lane.,London,8,Pope,Alexander,10.75,1.333333333,0.025,Male,32,Prose--Satire,8.0625,Lintot,Pope
Sewell,1715,George,Remarks on the tragedy of the Lady Jane Grey. In a Letter to Mr. Rowe.,"Printed for J. Roberts, and E. Berrington.",London,8,Sewell,,1.075,1.666666667,0.025,Male,40,Prose--Criticism/Aesthetics,0.645,Lintot,Sewell
Cibber,1715,Colley,Venus and Adonis,"Printed for Bernard Lintott, at the Cross-Keys between the Temple-Gates in Fleet-Street.",London,8,Cibber,Colley,5.375,1,0.025,Male,24,Drama--Masque,5.375,Lintot,Cibber
Gay,1715,John,The What d’ye Call it,Printed for Bernard Lintott between the two Temple Gates in Fleet-Street.,London,8,Gay,John,16.125,2.25,0.05,Male,54,Drama--Tragi-Comi-Pastoral Farce,7.166666667,Lintot,Gay
Gregory,1715,David,Dr Gregory’s Elements of Catoptrics and Dioptrics,"Printed for E. Curll, at the Dial and Bible, J. Pemberton, at the Buck and Sun, both against St. Dunstan’s Church in Fleetstreet, and W. Taylor, at the Ship in Pater-Noster-Row.",London,8,Browne,Jonas,12.6,9.75,0.25,Male,234,Prose--Science,1.292307692,Curll,Gregory
Homer,1715,n/a,The Iliad of Homer vol 1,"Printed by W. Bowyer, for Bernard Lintott between the Temple-Gates.",London,2,Pope,Alexander,391,16,1.075,Male,384,Verse--Epic Poem,24.4375,Lintot,Homer
Pope,1715,Alexander,Temple of Fame: a vision,Printed for Bernard Lintott between the two Temple-Gates in Fleetstreet.,London,8,Pope,Alexander,32.25,2.166666667,0.05,Male,52,Verse,14.88461538,Lintot,Pope
Rowe,1715,Nicholas,The Tragedy of the Lady Jane Grey,Printed for Bernard Lintott at the Cross-Keys between the Temple-Gates in Fleetstreet.,London,4,Rowe,Nicholas,75.25,3.333333333,0.075,Male,80,Drama--Tragedy,22.575,Lintot,Rowe
Aristænetus,1716,n/a,Letters of love and gallantry. Written in Greek by Aristænetus. Discovering the air of courtship and address among the Quality of Greece.,Printed for Bernard Lintot between the Temple-Gates.,London,12,Lewis,Stephen,5.375,5.5,0.075,Male,132,Verse,0.977272727,Lintot,Aristænetus
de Wicquefort,1716,Abraham,"The embassador and his functions: written by Monsieur de Wicquefort, Privy-Counsellor to the Duke of Brunswick and Lunenburg, Zell, &c. In two books","Printed for Bernard Lintott between the Temple-Gates in Fleetstreet: and sold by Charles King in Westminster-Hall, Edward Fleetwood at the Foot of the Parliament-Stair, and William Taylor at the Ship in Pater-Noster-Row",London,2,Digby,John,45,25.41666667,1.125,Male,610,Prose--Politics,1.770491803,Lintot,de Wicquefort
Gay,1716,John,"Trivia: or, the art of walking the streets of London.",Printed for Bernard Lintott.,London,8,Gay,John,43,4,0.05,Male,96,Verse,10.75,Lintot,Gay
Homer,1716,n/a,The Iliad of Homer vol 2,"Printed by W. Bowyer, for Bernard Lintott between the Temple-Gates.",London,2,Pope,Alexander,365,12.5,1.075,Male,300,Verse--Epic Poem,29.2,Lintot,Homer
Laurence,1716,John,"The gentleman’s recreation: Or the second part of the art of gardening improved. Containing several new experiments and curious observations relating to fruit-trees: particularly, a new method of building walls with horizontal shelters.",Printed for Bernard Lintott between the Temple-Gates in Fleetstreet,London,8,Laurence,John,16.125,5.666666667,0.1,Male,136,Prose--Reference,2.845588235,Lintot,Laurence
Pope,1716,Alexander,An essay on criticism.,Printed for Bernard Lintot. at the Cross-Keys between the Two Temple Gates in Fleet-Street.,London,12,Pope,Alexander,15,1.5,0.05,Male,36,Verse,10,Lintot,Pope
Centlivre,1717,Susanna,The Cruel Gift,"Printed for E. Curl in Fleet-Street, and A. Bettesworth in Pater-Noster Row.",London,12,Centlivre,Susanna,21.5,3.333333333,0.05,Female,80,Drama--Tragedy,6.45,Uknown,Centlivre
Fenton,1717,Elijah,Poems on Several Occasions,Printed for Bernard Lintot between the Temple-Gates,London,8,Fenton,Elijah,34.7125,10,0.175,Male,240,Verse,3.47125,Lintot,Fenton
Gay,1717,John,Three Hours After Marriage,"Printed for Bernard Lintot between the Temple Gates, Fleetstreet.",London,8,Gay,John,43.125,3.833333333,0.075,Male,92,Drama--Comedy,11.25,Lintot,Gay
Gay,1717,John,"Two epistles; one, to the Right Honourable Richard Earl of Burlington; the other, to a lady. ","Printed for Bernard Lintot, between the Temple-Gates",London,8,Gay,John,10.75,1.666666667,0.025,Male,40,Verse,6.45,Lintot,Gay
Homer,1717,n/a,The Iliad of Homer vol 3,"Printed by W. Bowyer, for Bernard Lintott between the Temple-Gates.",London,2,Pope,Alexander,365,10.83333333,1.075,Male,260,Verse--Epic Poem,33.69230769,Lintot,Homer
Parnell,1717,Thomas,"Homer’s Battle of the frogs and mice. With the remarks of Zoilus. To which is prefix’d, the life of the said Zoilus.","Printed for Bernard Lintot, between the Temple-Gates.",London,8,Gay,John,16.125,4,0.075,Male,96,Verse,4.03125,Lintot,Parnell
Ancillon,1718,Charles,Eunuchism Display’d,Printed for E. Curll at the Dial and Bible over against St. Dunstan’s Church in Fleetstreet.,London,12,Samber,Robert,10.75,10.91666667,0.15,Male,262,Prose--Medical,0.984732824,Curll,Ancillon
Cibber,1718,Colley,The Non-Juror,"Printed for B. Lintot, at the Cross-Keys in Fleetstreet.",London,8,Cibber,Colley,105,4,0.075,Male,96,Drama--Comedy,26.25,Lintot,Cibber
